Packet: Ether / IP / TCP 35.174.127.31:https > 192.168.9.2:59492 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 149.154.167.50:https > 192.168.9.2:60827 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 149.154.167.50:https > 192.168.9.2:60827 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60827 > 149.154.167.50:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60827 > 149.154.167.50:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:59492 > 35.174.127.31:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 149.154.167.50:https > 192.168.9.2:60827 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60766 > 204.80.128.1:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60824 > 194.135.85.48:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 204.80.128.1:https > 192.168.9.2:60766 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60766 > 204.80.128.1:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60070 > 52.7.165.190:https A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 204.80.128.1:https > 192.168.9.2:60766 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60824 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 172.217.16.10:https > 192.168.9.2:60869 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60824 > 194.135.85.48:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60869 > 172.217.16.10:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 52.7.165.190:https > 192.168.9.2:60070 A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60824 > 194.135.85.48:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60824 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60824 > 194.135.85.48:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:59678 > 135.225.242.134:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 135.225.242.134:https > 192.168.9.2:59678 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:59994 > 140.82.112.25:https A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:59678 > 135.225.242.134:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 140.82.112.25:https > 192.168.9.2:59994 A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60766 > 204.80.128.1:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 204.80.128.1:https > 192.168.9.2:60766 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60766 > 204.80.128.1:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60766 > 204.80.128.1:https FA | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 204.80.128.1:https > 192.168.9.2:60766 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 204.80.128.1:https > 192.168.9.2:60766 FA / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60766 > 204.80.128.1:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60843 > 194.135.85.48:https S | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60844 > 194.135.85.48:https S | Protocol: tcp | Encryption: TLS (HTTPS)
